200,1800,5,5,10,10,nan,nan,0.0
200,1800,5,5,50,5,nan,0.0,0.0
200,1800,5,5,50,8,nan,nan,0.0
200,1800,5,5,50,10,nan,nan,0.0
200,1800,5,10,5,5,0.18,0.17,0.2
200,1800,5,10,5,8,nan,0.0,0.0
200,1800,5,10,5,10,nan,0.0,0.0
200,1800,5,10,10,5,0.2,0.2,0.2
200,1800,5,10,10,8,nan,0.0,0.0
200,1800,5,10,10,10,nan,nan,0.0
200,1800,5,10,50,5,nan,0.0,0.0
200,1800,5,10,50,8,nan,nan,0.0
200,1800,5,10,50,10,nan,nan,0.0
200,1800,5,20,5,5,0.5,0.67,0.4
200,1800,5,20,5,8,nan,0.0,0.0
200,1800,5,20,5,10,nan,nan,0.0
200,1800,5,20,10,5,0.5,0.67,0.4
200,1800,5,20,10,8,nan,0.0,0.0
200,1800,5,20,10,10,nan,nan,0.0
200,1800,5,20,50,5,nan,0.0,0.0
200,1800,5,20,50,8,nan,nan,0.0
200,1800,5,20,50,10,nan,nan,0.0
200,1800,10,5,5,5,0.22,0.18,0.3
200,1800,10,5,5,8,nan,0.0,0.0
200,1800,10,5,5,10,nan,nan,0.0
200,1800,10,5,10,5,0.26,0.23,0.3
200,1800,10,5,10,8,nan,0.0,0.0
200,1800,10,5,10,10,nan,nan,0.0
200,1800,10,5,50,5,nan,0.0,0.0
200,1800,10,5,50,8,nan,nan,0.0
200,1800,10,5,50,10,nan,nan,0.0
200,1800,10,10,5,5,0.33,0.29,0.4
200,1800,10,10,5,8,nan,nan,0.0
200,1800,10,10,5,10,nan,nan,0.0
200,1800,10,10,10,5,0.35,0.31,0.4
200,1800,10,10,10,8,nan,0.0,0.0
200,1800,10,10,10,10,nan,nan,0.0
200,1800,10,10,50,5,nan,0.0,0.0
200,1800,10,10,50,8,nan,nan,0.0
200,1800,10,10,50,10,nan,nan,0.0
200,1800,10,20,5,5,0.45,0.42,0.5
200,1800,10,20,5,8,0.17,0.5,0.1
200,1800,10,20,5,10,0.17,0.5,0.1
